title_theme,title_index,author,theme,cycle,collection,mss,ff,page
Romance of Thebes,Romance of Thebes,Lydgate,Classical Romances,,Royal,18. D. ii.,ff. 147 b-162,87
Romance of Thebes,Romance of Thebes,Lydgate,Classical Romances,,Cotton,Cotton Appendix xxvii.,"ff. 11-61; formerly ff. 106-130 b, and xxxix. ff. 80-103 b",87
Romance of Thebes,Romance of Thebes,Lydgate,Classical Romances,,Arundel,Arundel 119,,87
Romance of Thebes,Romance of Thebes,Lydgate,Classical Romances,,Additional,"Add. 18,632.",ff. 5-33,87
"Romance of Jason, from Raoul Le Fèvre (Dutch)",Romance of Jason,,Classical Romances,,Additional,"Add. 10,290.",ff. 2-161,92
Alexandreis,Alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,Royal,8. B. iv.,ff. 19-71 b,94
Alexandreis,Alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,Royal,15. A. x.,ff. 2-89,94
Alexandreis,Alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,Harley,Harley 4745,,94
Alexandreis,Alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,Harley,Harley 5437,,94
Alexandreis,Alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,Burney,Burney 312,,94
Alexandreis,Alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,Additional,"Add. 17,084",,94
Alexandreis,Alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,Additional,"Add. 18,217",,94
Alexandreis,Alexandreis,Gaultier de Châtillon,Classical Romances,Cycle of Alexander,Additional,"Add. 22,821",,94
Alexanders Saga,Alexander saga,Brandr Jonsson,Classical Romances,Cycle of Alexander,Additional,"Add. 11,238.",ff. 507-692 b,104
Alexanders Saga,Alexander saga,Brandr Jonsson,Classical Romances,Cycle of Alexander,Additional,"Add. 24,969.",ff. 128 b-151 b,104
"Alexander, abridged from Julius Valerius",Alexandreis,,Classical Romances,Cycle of Alexander,Royal,8. B. iv.,ff. 19-71 b,106
"Alexander, abridged from Julius Valerius",Alexandreis,,Classical Romances,Cycle of Alexander,Royal,15. A. x.,ff. 2-89,106
"Alexander, abridged from Julius Valerius",Alexandreis,,Classical Romances,Cycle of Alexander,Harley,Harley 4745,,106
"Alexander, abridged from Julius Valerius",Alexandreis,,Classical Romances,Cycle of Alexander,Harley,Harley 5437,,106
"Alexander, abridged from Julius Valerius",Alexandreis,,Classical Romances,Cycle of Alexander,Burney,Burney 312,,106
"Alexander, abridged from Julius Valerius",Alexandreis,,Classical Romances,Cycle of Alexander,Additional,"Add. 17,084",,106
"Alexander, abridged from Julius Valerius",Alexandreis,,Classical Romances,Cycle of Alexander,Additional,"Add. 18,217",,106
"Alexander, abridged from Julius Valerius",Alexandreis,,Classical Romances,Cycle of Alexander,Additional,"Add. 22,821",,106
"Alexander, or Historia de Preliis",Alexandreis,,Classical Romances,Cycle of Alexander,Royal,8. B. iv.,ff. 19-71 b,120
"Alexander, or Historia de Preliis",Alexandreis,,Classical Romances,Cycle of Alexander,Royal,15. A. x.,ff. 2-89,120
"Alexander, or Historia de Preliis",Alexandreis,,Classical Romances,Cycle of Alexander,Harley,Harley 4745,,120
"Alexander, or Historia de Preliis",Alexandreis,,Classical Romances,Cycle of Alexander,Harley,Harley 5437,,120
"Alexander, or Historia de Preliis",Alexandreis,,Classical Romances,Cycle of Alexander,Burney,Burney 312,,120
"Alexander, or Historia de Preliis",Alexandreis,,Classical Romances,Cycle of Alexander,Additional,"Add. 17,084",,120
"Alexander, or Historia de Preliis",Alexandreis,,Classical Romances,Cycle of Alexander,Additional,"Add. 18,217",,120
"Alexander, or Historia de Preliis",Alexandreis,,Classical Romances,Cycle of Alexander,Additional,"Add. 22,821",,120
"Marvels of India, etc",Marvels of India,,Classical Romances,Cycle of Alexander,Cotton,Vitellius A. xv.,ff. 109-133 b,131
"Marvels of India, etc",Marvels of India,,Classical Romances,Cycle of Alexander,Arundel,Arundel 242.,ff. 160-182,131
"Treatise on the Brahmins, ascribed to Palladius of Galatia",Treatise on the Brahmins,,Classical Romances,Cycle of Alexander,Arundel,Arundel 546.,ff. 265 b-280 b,134
"Letters of Dindimus the Brahmin, etc",Letters of Dindimus to Alexander the Great,,Classical Romances,Cycle of Alexander,Cotton,Galba E. xi.,ff. 98 b-101 b,136
Alexandreis,Alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,Royal,8. B. iv.,ff. 19-71 b,141
Alexandreis,Alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,Royal,15. A. x.,ff. 2-89,141
Alexandreis,Alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,Harley,Harley 4745,,141
Alexandreis,Alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,Harley,Harley 5437,,141
Alexandreis,Alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,Burney,Burney 312,,141
Alexandreis,Alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,Additional,"Add. 17,084",,141
Alexandreis,Alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,Additional,"Add. 18,217",,141
Alexandreis,Alexandreis,Ulrich von Eschenbach,Classical Romances,Cycle of Alexander,Additional,"Add. 22,821",,141
La Vengeance d'Alexandre,La Vengeance d'Alexandre,,Classical Romances,Cycle of Alexander,Royal,19. D. i.,ff. 47-57,143
Voeux du Paon,Voeux du Paon,,Classical Romances,Cycle of Alexander,Harley,Harley 3992,,146
Voeux du Paon,Voeux du Paon,,Classical Romances,Cycle of Alexander,Arundel,Arundel 230,ff. 181 b,146
Voeux du Paon,Voeux du Paon,,Classical Romances,Cycle of Alexander,Additional,"Add. 16,956",,146
Voeux du Paon,Voeux du Paon,,Classical Romances,Cycle of Alexander,Additional,Add. 30864,,146
Florimont,Florimont,Aimé de Varennes,Classical Romances,Cycle of Alexander,Harley,Harley 3983.,ff. 2-82 b,156
Florimont,Florimont,Aimé de Varennes,Classical Romances,Cycle of Alexander,Harley,Harley 4487.,ff. 3-96,156
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Royal,14. C. xi.,ff. 80-83 b,161
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Royal,20. C. ii.,ff. 210-236,161
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Cotton,Vespasian A. xiii.,ff. 132-147 b,161
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Cotton,Titus D. iii.,ff. 127-137 b,161
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Arundel,Arundel 123.,ff. 33-42 b,161
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Arundel,Arundel 292.,ff. 41-61,161
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Sloane,Sloane 1619,ff. 18-29,161
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Sloane,Sloane 2233,,161
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Additional,Add. 4857.,ff. 28-56 b,161
Apollonius of Tyre,Apollonius of Tyre,,Classical Romances,,Additional,Add. 4864.,ff. 88-114 b,161
Sir Orpheo,Sir Orpheo,,Classical Romances,,Harley,Harley 3810. Part I.,ff. 1-10,171
Athis et Profilias,Roman d'Athis et Profilas,Alexandre de Bernay,Classical Romances,,Additional,"Add. 16,441",,173
Athis et Profilias,Roman d'Athis et Profilas,Alexandre de Bernay,Classical Romances,,Additional,"Add. 16,441",,173
"Titus and Vespasian, a chanson de geste",Titus and Vespasian,,Classical Romances,,Royal,16. E. viii.,ff. 73-102 b,176
"Titus and Vespasian, a chanson de geste",Titus and Vespasian,,Classical Romances,,Cotton,Caligula A. ii.,ff. 111-125,176
"Titus and Vespasian, a chanson de geste",Titus and Vespasian,,Classical Romances,,Cotton,Vespasian E. xvi.,ff. 70-75 b,176
"Titus and Vespasian, a chanson de geste",Titus and Vespasian,,Classical Romances,,Additional,"Add. 10,038.",ff. 2-81 b,176
"Titus and Vespasian, a chanson de geste",Titus and Vespasian,,Classical Romances,,Additional,"Add. 10,289.",ff. 82-121,176
"Titus and Vespasian, a chanson de geste",Titus and Vespasian,,Classical Romances,,Additional,Add. 31042,ff50-66,176
"Titus and Vespasian, an English poem",Titus and Vespasian,,Classical Romances,,Royal,16. E. viii.,ff. 73-102 b,180
"Titus and Vespasian, an English poem",Titus and Vespasian,,Classical Romances,,Cotton,Caligula A. ii.,ff. 111-125,180
"Titus and Vespasian, an English poem",Titus and Vespasian,,Classical Romances,,Cotton,Vespasian E. xvi.,ff. 70-75 b,180
"Titus and Vespasian, an English poem",Titus and Vespasian,,Classical Romances,,Additional,"Add. 10,038.",ff. 2-81 b,180
"Titus and Vespasian, an English poem",Titus and Vespasian,,Classical Romances,,Additional,"Add. 10,289.",ff. 82-121,180
"Titus and Vespasian, an English poem",Titus and Vespasian,,Classical Romances,,Additional,Add. 31042,ff50-66,180
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Royal,13. A. xiv.,ff. 244-247,190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Royal,15. A. xxii.,ff. 110-115,190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Royal,15. B. xi.,ff. 67-69,190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Cotton,Caligula A. x.,ff. 200-204,190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Cotton,Caligula B. vii.,"ff. 219, 220",190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Cotton,Vespasian B. xxv.,ff. 117 b-123,190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Cotton,Vespasian E. iv.,ff. 143-147,190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Cotton,Titus D. iii.,ff. 143-147 b,190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Cotton,Domitian xiii.,ff. 104-107,190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Cotton,Domitian xiii.,ff. 132 b-134 b,190
Prophecy of the tenth Sibyl,Prophecy of the Tenth Sibyl,,Classical Romances,,Egerton,Egerton 810,ff. 106-109 b,190
"Life of Virgil, in Icelandic (from the Dutch)",Life of Virgilius,,Classical Romances,,Additional,Add. 4859.,ff. 81 b-91,196
"Life of Virgil, in Icelandic (from the Dutch)",Life of Virgilius,,Classical Romances,,Additional,"Add. 11,141.",ff. 132-147,196
"Albina and her Sisters, or De origine Gigantum",Story of Albina and her Sisters,,British and English Traditions,,Cotton,Nero D. viii.,"ff. 186, 187",198
"Albina and her Sisters, or De origine Gigantum",Story of Albina and her Sisters,,British and English Traditions,,Cotton,Vespasian E. x.,ff. 390 b-392,198
"Albina and her Sisters, or De origine Gigantum",Story of Albina and her Sisters,,British and English Traditions,,Cotton,Titus A. xix.,ff. 103,198
"Albina and her Sisters, or De origine Gigantum",Story of Albina and her Sisters,,British and English Traditions,,Cotton,Cleopatra D. viii.,ff. 3 b-5,198
"Albina and her Sisters, or De origine Gigantum",Story of Albina and her Sisters,,British and English Traditions,,Cotton,Cleopatra D. ix.,"ff. 67, 68",198
"Albina and her Sisters, or De origine Gigantum",Story of Albina and her Sisters,,British and English Traditions,,Harley,Harley 941.,ff. 1-3,198
"Albina and her Sisters, or De origine Gigantum",Story of Albina and her Sisters,,British and English Traditions,,Harley,Harley 2386.,ff. 65 b-67,198
Historia Regum Britannia,Historia Regum Britannia,Geoffrey of Monmouth,British and English Traditions,,Royal,14. C. i.,ff. 80-137,203
Historia Regum Britannia,Historia Regum Britannia,Geoffrey of Monmouth,British and English Traditions,,Royal,15. C. xvi.,ff. 146-183 b,203
Roman de Brut,Roman de Brut,Wace,British and English Traditions,,Royal,13. A. xxi.,ff. 40 b-113,259
Roman de Brut,Roman de Brut,Wace,British and English Traditions,,Cotton,Vitellius A. x.,ff. 19-114 b,259
Roman de Brut,Roman de Brut,Wace,British and English Traditions,,Harley,Harley 6508,,259
Lazamon's Brut,Lazamon's Brut,,British and English Traditions,,Cotton,Caligula A. ix.,ff. 3-194 b,268
Chanson de Brut,Chanson de Brut,,British and English Traditions,,Harley,Harley 1605. Art. I.,,272
Gesta regum Britanniae,Gesta Regum Britannia,Pseudo-Gildas,British and English Traditions,,Cotton,Julius D. xi.,ff. 2-60,274
Brutus,Brutus,,British and English Traditions,,Cotton,Vespasian A. x.,ff. 44 b-51,277
Vita Merlini,Vita Merlini,Geffrey of Monmouth,British and English Traditions,,Royal,13. E. i.,ff. 143-146,278
Vita Merlini,Vita Merlini,Geffrey of Monmouth,British and English Traditions,,Cotton,Julius E. viii.,ff. 12 b-17 b,278
Vita Merlini,Vita Merlini,Geffrey of Monmouth,British and English Traditions,,Cotton,Vespasian E. iv.,ff. 112 b-138 b,278
Vita Merlini,Vita Merlini,Geffrey of Monmouth,British and English Traditions,,Cotton,Titus A. xix.,ff. 63-73 b,278
Vita Merlini,Vita Merlini,Geffrey of Monmouth,British and English Traditions,,Harley,Harley 655.,ff. 200 b-204 b,278
Prophecies of Merlin and others,Prophecies of Merlin and others,,British and English Traditions,,Harley,Harley 1717.,ff. 249 b-250 b,292
"Thomas of Erceldoune, etc",Thomas of Erceldoune,,British and English Traditions,,Cotton,Vitellius E. x.,ff. 240 b-243,328
"Thomas of Erceldoune, etc",Thomas of Erceldoune,,British and English Traditions,,Lansdowne,Lansdowne 762.,"ff. 24-31, 48-58 b, 61 b-71, 75-88",328
Kinge Humber,King Humber,,British and English Traditions,,Additional,Add. 27879 f 248,,339
Saint Graal,Saint Graal,,British and English Traditions,Cycle of Arthur,Royal,14. E. iii.,ff. 3-88 b,340
Saint Graal,Saint Graal,,British and English Traditions,Cycle of Arthur,Royal,19. C. vii.,,340
Saint Graal,Saint Graal,,British and English Traditions,Cycle of Arthur,Additional,"Add. 10,292.",ff. 1-76,340
Merlin,Merlin,,British and English Traditions,Cycle of Arthur,Harley,Harley 6223. Art. I.,,343
Merlin,Merlin,,British and English Traditions,Cycle of Arthur,Harley,Harley 6340,,343
Merlin,Merlin,,British and English Traditions,Cycle of Arthur,Additional,"Add. 10,292.",ff. 76-216 b,343
Merlin,Merlin,,British and English Traditions,Cycle of Arthur,Additional,Add. 27879,ff. 72 b-89,343
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Royal,14. E. iii.,ff. 89-161 b,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Royal,19. B. vii.,,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Royal,19. C. viii.,,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Royal,20. B. xix.,,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Royal,20. C. vi.,,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Royal,20. D. iii.,,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Royal,20. D. iv.,,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Harley,Harley 4419,,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Harley,Harley 6341,,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Lansdowne,Lansdowne 757,,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Additional,"Add. 10,293",,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Additional,"Add. 10,294",,345
Lancelot du Lac,Lancelot du Lac,,British and English Traditions,Cycle of Arthur,Additional,"Add. 17,443",,345
Tristram,Tristram,,British and English Traditions,Cycle of Arthur,Royal,20. D. ii.,,356
Tristram,Tristram,,British and English Traditions,Cycle of Arthur,Harley,Harley 49,,356
Tristram,Tristram,,British and English Traditions,Cycle of Arthur,Harley,Harley 4389,,356
Tristram,Tristram,,British and English Traditions,Cycle of Arthur,Additional,Add. 5474,,356
Tristram,Tristram,,British and English Traditions,Cycle of Arthur,Additional,"Add. 23,829",,356
Tristram,Tristram,,British and English Traditions,Cycle of Arthur,Egerton,Egerton 989,,356
Meliadus,Meliadus,,British and English Traditions,Cycle of Arthur,Additional,"Add. 12,228",,364
Guiron le Courtois,Guiron le Courtois,,British and English Traditions,Cycle of Arthur,Additional,"Add. 23,930.",ff. 1-87 b,369
Prophecies de Merlin,Prophecies de Merlin,,British and English Traditions,Cycle of Arthur,Harley,Harley 1629,,371
Prophecies de Merlin,Prophecies de Merlin,,British and English Traditions,Cycle of Arthur,Additional,"Add. 25,434",,371
"Meriadoc, and Gawain",Meriadoc and Gawain,,British and English Traditions,Cycle of Arthur,Cotton,Faustina B. vi.,ff. 2-40 b,374
Perceforest,Perceforest,,British and English Traditions,Cycle of Arthur,Royal,15. E. v.,,377
Perceforest,Perceforest,,British and English Traditions,Cycle of Arthur,Royal,19. E. ii.,,377
Perceforest,Perceforest,,British and English Traditions,Cycle of Arthur,Royal,19. E. iii.,,377
Artus de Bretagne,Artus de Bretagne,,British and English Traditions,Cycle of Arthur,Additional,"Add. 10,295",,382
Cleriadus et Meliadice,Cleriadus et Meliadice,,British and English Traditions,Cycle of Arthur,Royal,20. C. ii.,ff. 1-209 b,383
"Birth of Merlin, in French verse",Birth of Merlin,,British and English Traditions,Cycle of Arthur,Arundel,Arundel 220. Art. L,,384
"Merlin, in English verse",Merlin,,British and English Traditions,Cycle of Arthur,Harley,Harley 6223. Art. I.,,385
"Merlin, in English verse",Merlin,,British and English Traditions,Cycle of Arthur,Harley,Harley 6340,,385
"Merlin, in English verse",Merlin,,British and English Traditions,Cycle of Arthur,Additional,"Add. 10,292.",ff. 76-216 b,385
"Merlin, in English verse",Merlin,,British and English Traditions,Cycle of Arthur,Additional,Add. 27879,ff. 72 b-89,385
"Sir Gawain and the Green Knight, and other similar English poems",Sir Gawain and the Green Knight,,British and English Traditions,Cycle of Arthur,Cotton,Nero A. x.,ff. 90 b-126,387
Iwein,Iwein,Hartmann von Aue,British and English Traditions,Cycle of Arthur,Additional,"Add. 19,554.",ff. 57-100 b,390
Ywain and Gawain,Ywain and Gawain,,British and English Traditions,Cycle of Arthur,Cotton,Galba E. ix.,ff. 4-25,392
"Peredur ab Efrawc, and Parcevals saga",Peredur ab Efrawc,,British and English Traditions,Cycle of Arthur,Additional,"Add. 14,907.",ff. 149-167,395
"Sir Lancelot of Dulake, and King Arthur and the King of Cornwall",Sir Lancelot of Dulake,,British and English Traditions,Cycle of Arthur,Additional,Add. 27879,"ff. 10-14, 16, 17",397
Wigalois,Wigalois,Wirnt von Gravenberg,British and English Traditions,Cycle of Arthur,Additional,"Add. 19,554.",ff. 2-56 b,398
Lybeaus Desconus,Lybeaus Desconus,,British and English Traditions,Cycle of Arthur,Cotton,Caligula A. ii.,ff. 42 b-57,400
Gabons saga ok Vigoles,Gabons saga ok Vigolea,,British and English Traditions,Cycle of Arthur,Additional,"Add. 11,157.",ff. 1-46 b,402
Ereks saga Artuskappa,Ereks saga Artuskappa,,British and English Traditions,Cycle of Arthur,Additional,Add. 4859.,ff. 66-74 b,403
"Boy and Mantle, and Mottuls saga",Boy and Mantle,,British and English Traditions,Cycle of Arthur,Additional,Add. 27879,"ff140, 141",404
Morte Arthur,Morte Arthur,,British and English Traditions,Cycle of Arthur,Harley,Harley 2252.,ff. 86-133 b,405
King Arthur's Death,King Arthur's Death,,British and English Traditions,Cycle of Arthur,Additional,Add. 27879,"ff. 89, 91",406
Samsons Saga,Samsons saga Fagra,,British and English Traditions,Cycle of Arthur,Additional,Add. 4863.,ff. 47-68 b,407
Lays of Marie de Fiance,Lays of Marie de France,,British and English Traditions,,Harley,Harley 978.,ff. 118-160,408
Emare,Emare,,British and English Traditions,,Cotton,Caligula A. ii.,ff. 71-76 b,418
Sir Gowghter,Sir Gowghter,,British and English Traditions,,Royal,17. B. xliii.,ff. 116-131 b,419
Hanes Taliesin,Hanes Taliesin,,British and English Traditions,,Additional,"Add. 14,697.",ff. 205-208 b,421
Hanes Taliesin,Hanes Taliesin,,British and English Traditions,,Additional,"Add. 15,002.",ff. 144 b-147 b,421
Havelok,Havelok,Geffrei Gaimar,British and English Traditions,,Royal,13. A. xxi.,ff. 113-117 b,423
Havelok,Havelok,Geffrei Gaimar,British and English Traditions,,Royal,13. A. xxi.,ff. 113-117 b,423
King Horn,King Horn,,British and English Traditions,,Harley,Harley 527.,ff. 59-73 b,447
